City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
184,azemmour,33.2895,-8.3425,14.53,79,7,2.56,MA,2024-04-02,2556657
185,lodja,-3.4833,23.4333,20.69,98,93,0.58,CD,2024-04-02,211647
186,lihue,21.9789,-159.3672,24.74,71,75,6.69,US,2024-04-02,5850248
187,nouadhibou,20.931,-17.0347,20.99,56,0,9.26,MR,2024-04-02,2377457
188,aral,40.5156,81.2636,9.85,36,18,2.92,CN,2024-04-02,1529641
189,kolonia,50.9333,6.95,10.49,85,75,3.09,DE,2024-04-02,2886242
190,carutapera,-1.195,-46.02,25.73,93,70,2.63,BR,2024-04-02,3402648
191,vila franca do campo,37.7167,-25.4333,18.27,99,90,9.01,PT,2024-04-02,3372472
192,codrington,-38.2667,141.9667,14.27,80,82,4.55,AU,2024-04-02,2171099
193,sechura,-5.5569,-80.8222,25.99,63,99,6.67,PE,2024-04-02,3691954
194,tocopilla,-22.092,-70.1979,20.4,77,6,0.27,CL,2024-04-02,3869716
195,mokhsogollokh,61.4681,128.9203,-9.32,93,92,3.48,RU,2024-04-02,2019867
196,tazacorte,28.629,-17.9293,17.86,89,0,3.13,ES,2024-04-02,6534196
197,enewetak,11.3474,162.3373,26.79,82,86,9.88,MH,2024-04-02,7306511
198,freetown,8.484,-13.2299,26.05,75,82,2.62,SL,2024-04-02,2409306
199,west bay,19.3667,-81.4167,28.43,78,20,4.63,KY,2024-04-02,3580477
200,port lincoln,-34.7333,135.8667,16.26,70,97,3.0,AU,2024-04-02,2063036
201,yamazakicho-nakabirose,35.0,134.55,12.97,97,100,3.17,JP,2024-04-02,1848633
202,puerto baquerizo moreno,-0.9,-89.6,25.53,78,81,3.76,EC,2024-04-02,3652758
203,ayabaca,-4.6398,-79.7149,8.55,95,100,0.62,PE,2024-04-02,3699502
204,beruniy,41.6911,60.7525,5.98,70,0,0.0,UZ,2024-04-02,1514387
205,nemuro,43.3236,145.575,1.71,66,1,3.55,JP,2024-04-02,2128975
206,kailua-kona,19.6406,-155.9956,26.32,81,0,5.14,US,2024-04-02,5847504
207,luderitz,-26.6481,15.1594,17.61,73,1,1.84,NA,2024-04-02,3355672
208,vilyuchinsk,52.9306,158.4028,3.15,76,100,3.49,RU,2024-04-02,2118647
209,waunakee,43.1919,-89.4557,0.59,95,100,7.72,US,2024-04-02,5278073
210,urengoy,65.9667,78.3667,-1.96,96,100,9.47,RU,2024-04-02,1488414
211,benguela,-12.5763,13.4055,26.28,84,85,2.35,AO,2024-04-02,3351663
212,igarka,67.4667,86.5833,-4.41,96,100,7.57,RU,2024-04-02,1505991
213,tarawa,1.419,172.984,28.05,94,75,5.14,KI,2024-04-02,7521611
214,shirvan,39.9509,48.8994,11.38,69,1,1.9,AZ,2024-04-02,409417
215,vilyuysk,63.7553,121.6247,-13.7,100,98,2.18,RU,2024-04-02,2013392
216,coquimbo,-29.9533,-71.3436,17.33,73,0,2.19,CL,2024-04-02,3893629
217,miri,4.4148,114.0089,25.08,100,20,1.03,MY,2024-04-02,1738050
218,puerto deseado,-47.7503,-65.8938,9.9,69,100,7.0,AR,2024-04-02,3840104
219,enriquillo,17.9,-71.2333,27.82,75,76,4.04,DO,2024-04-02,3505947
220,shobara,34.85,133.0167,11.47,97,100,2.72,JP,2024-04-02,1851713
221,callao,-12.0667,-77.15,24.16,64,0,6.17,PE,2024-04-02,3946083
222,port mathurin,-19.6833,63.4167,26.58,82,100,6.88,MU,2024-04-02,1545752
223,tura,25.5198,90.2201,20.42,73,39,2.25,IN,2024-04-02,1254046
224,east london,-33.0153,27.9116,18.55,71,15,3.27,ZA,2024-04-02,1006984
225,bonthe,7.5264,-12.505,26.06,86,43,3.28,SL,2024-04-02,2409914
226,constantia,44.1833,28.65,12.38,57,98,3.22,RO,2024-04-02,680963
227,gulf shores,30.246,-87.7008,22.52,81,100,4.12,US,2024-04-02,4065552
228,sao felix do xingu,-6.6447,-51.995,23.91,97,84,0.65,BR,2024-04-02,3388847
229,balqash,46.8481,74.995,3.43,79,10,3.32,KZ,2024-04-02,1525798
230,afaahiti,-17.75,-149.2833,29.93,76,62,8.01,PF,2024-04-02,4034745
231,bryne,58.7354,5.6477,4.5,92,100,3.09,NO,2024-04-02,3159822
232,ancud,-41.8697,-73.8203,10.32,76,67,6.97,CL,2024-04-02,3899695
233,gisborne,-38.6533,178.0042,19.95,57,5,2.07,NZ,2024-04-02,2206854
234,iwaki,37.05,140.8833,12.18,65,100,1.36,JP,2024-04-02,2112539
235,dunedin,-45.8742,170.5036,16.0,74,100,2.68,NZ,2024-04-02,2191562
236,laojunmiao,39.8333,97.7333,2.57,67,95,0.11,CN,2024-04-02,1280757
237,utrik,11.2278,169.8474,26.72,76,100,7.42,MH,2024-04-02,7306518
238,yellowknife,62.456,-114.3525,0.77,72,75,4.63,CA,2024-04-02,6185377
239,polyarnyy,69.1989,33.4478,-18.47,99,26,3.62,RU,2024-04-02,506763
240,danville,36.586,-79.395,26.88,52,20,3.09,US,2024-04-02,4755280
241,mount isa,-20.7333,139.5,25.87,57,24,6.17,AU,2024-04-02,2065594
242,kerikeri,-35.2268,173.9474,20.96,53,5,1.61,NZ,2024-04-02,2188874
243,huarmey,-10.0681,-78.1522,23.17,79,21,3.85,PE,2024-04-02,3939168
244,uray,60.1247,64.7758,1.6,94,100,4.92,RU,2024-04-02,1488429
245,beeville,28.4008,-97.7483,28.1,13,0,6.69,US,2024-04-02,4673258
246,namibe,-15.1961,12.1522,23.44,75,29,3.34,AO,2024-04-02,3347019
247,geraldton,-28.7667,114.6,23.23,38,75,4.63,AU,2024-04-02,2070998
248,cidreira,-30.1811,-50.2056,21.27,82,90,3.53,BR,2024-04-02,3466165
249,holbrook,40.8123,-73.0784,6.03,93,100,6.69,US,2024-04-02,5120987
250,lisala,2.15,21.5167,21.93,98,84,0.37,CD,2024-04-02,211734
251,susuman,62.7833,148.1667,-18.34,79,8,1.34,RU,2024-04-02,2120864
252,evanston,42.0411,-87.6901,3.85,88,75,10.29,US,2024-04-02,4891382
253,portland,45.5234,-122.6762,23.71,38,0,2.68,US,2024-04-02,5746545
254,zeya,53.75,127.2667,-2.51,77,96,2.19,RU,2024-04-02,2012593
255,ola,59.5833,151.2833,-6.89,65,1,3.45,RU,2024-04-02,2122574
256,cootamundra,-34.65,148.0333,17.19,65,0,2.34,AU,2024-04-02,2170430
257,concepcion,-36.827,-73.0498,14.89,77,75,1.03,CL,2024-04-02,3893894
258,chaparral,3.7232,-75.4832,23.07,88,100,0.3,CO,2024-04-02,3686793
259,nizhneangarsk,55.7833,109.55,-15.0,88,17,1.79,RU,2024-04-02,2019199
260,buchanan,5.8808,-10.0467,27.12,91,63,2.82,LR,2024-04-02,2278158
261,effingham,32.3669,-81.3332,25.29,66,87,2.7,US,2024-04-02,4193042
262,lazaro cardenas,17.9583,-102.2,26.89,69,96,5.81,MX,2024-04-02,4026082
263,nagqu,31.5,92.0,-3.08,52,93,2.72,CN,2024-04-02,1280517
264,rio grande,-32.035,-52.0986,20.06,68,57,3.98,BR,2024-04-02,3451138
265,iisalmi,63.5592,27.1907,-5.68,89,100,4.39,FI,2024-04-02,656820
266,onega,63.9061,38.1404,-5.83,69,100,5.37,RU,2024-04-02,515246
267,kinkala,-4.3614,14.7644,23.24,88,84,1.05,CG,2024-04-02,2258984
268,greenville,35.6127,-77.3663,26.97,53,0,3.6,US,2024-04-02,4469160
269,ismailia,30.6043,32.2723,19.03,70,0,2.72,EG,2024-04-02,361055
270,luwuk,-0.9516,122.7875,27.28,79,96,0.95,ID,2024-04-02,1637001
271,haiku-pauwela,20.9219,-156.3051,24.34,69,40,12.35,US,2024-04-02,7262697
272,bubaque,11.2833,-15.8333,24.72,73,26,9.23,GW,2024-04-02,2374583
273,hatillo,18.4863,-66.8254,25.79,80,43,3.58,PR,2024-04-02,4565346
274,dame-marie,18.5667,-74.4167,26.04,72,100,1.63,HT,2024-04-02,3727055
275,ta`u,-14.2336,-169.5144,29.1,79,100,7.52,AS,2024-04-02,5881165
276,tchintabaraden,15.8969,5.7985,30.94,8,95,4.78,NE,2024-04-02,2438974
277,sulak,43.2734,47.5146,12.29,85,0,8.93,RU,2024-04-02,486398
